"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.4192 hourly","$1.5246 hourly","$1.5230 hourly","$4.6272 hourly","$3.7326 hourly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","25 Gigabit","$2.4480 hourly","$1.5422 hourly","$1.2040 hourly","$3.9200 hourly","$3.0142 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.4480 hourly","$1.6194 hourly","$1.9000 hourly","$5.3920 hourly","$4.5633 hourly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$2.2480 hourly","unavailable","unavailable"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$2.1443 hourly","unavailable","unavailable"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$2.1498 hourly","unavailable","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$1.1426 hourly","unavailable","unavailable"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","EBS only","20 Gigabit","$2.4640 hourly","$1.5520 hourly","$2.0623 hourly","$5.4080 hourly","$4.4960 hourly"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.4710 hourly","$1.6036 hourly","$0.9974 hourly","unavailable","unavailable"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$2.4720 hourly","$1.5570 hourly","$1.5568 hourly","$4.6800 hourly","$3.7650 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.4960 hourly","$1.7140 hourly","$0.9218 hourly","$3.9680 hourly","$3.1860 hourly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$2.5459 hourly","$1.6039 hourly","$1.0385 hourly","$4.0179 hourly","$3.0759 hourly"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.5628 hourly","$1.6146 hourly","$1.5910 hourly","unavailable","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$2.5704 hourly","$1.7003 hourly","$1.6701 hourly","unavailable","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","240 GB                 (2 * 120 GB SSD)","High","$2.6000 hourly","unavailable","$1.2242 hourly","$2.8780 hourly","unavailable"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$2.2051 hourly","unavailable","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$2.2405 hourly","unavailable","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$2.6600 hourly","$1.6720 hourly","$0.9393 hourly","$3.5000 hourly","$1.9890 hourly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.6720 hourly","$1.6830 hourly","$1.0303 hourly","$4.1440 hourly","$3.1550 hourly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$2.6720 hourly","$1.6466 hourly","$1.1886 hourly","unavailable","unavailable"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.7120 hourly","$1.7090 hourly","$1.4619 hourly","$4.9200 hourly","$3.9170 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.7120 hourly","$1.8470 hourly","$0.8136 hourly","$3.8160 hourly","$2.9510 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","EBS only","10 Gigabit","$2.7120 hourly","$1.7090 hourly","$1.5538 hourly","$4.9200 hourly","$3.9170 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7200 hourly","$1.7993 hourly","$1.8280 hourly","$5.6640 hourly","$4.7433 hourly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.7216 hourly","$1.8003 hourly","$1.5545 hourly","$4.9296 hourly","$4.0083 hourly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.7216 hourly","$1.7146 hourly","$1.5580 hourly","$4.9296 hourly","$3.9226 hourly"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$2.0488 hourly","unavailable","unavailable"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$2.3702 hourly","unavailable","unavailable"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.7460 hourly","$1.7820 hourly","$0.8238 hourly","$4.2180 hourly","$3.2540 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","EBS only","12 Gigabit","$2.7520 hourly","$1.7340 hourly","$2.0037 hourly","$5.6960 hourly","$4.6780 hourly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","20 Gigabit","$2.7520 hourly","$1.7340 hourly","$1.9371 hourly","$5.6960 hourly","$4.6780 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","24576 GB                 (12 * 2048 GB HDD)","High","$2.7600 hourly","$1.6080 hourly","$0.8280 hourly","$3.0620 hourly","$1.6900 hourly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.7648 hourly","$1.7418 hourly","$1.6348 hourly","unavailable","unavailable"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7648 hourly","$1.8289 hourly","$2.0391 hourly","$5.7088 hourly","$4.7729 hourly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","$2.7648 hourly","$1.7450 hourly","$2.1457 hourly","unavailable","unavailable"
"M7A 12xlarge","m7a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.7821 hourly","$1.8403 hourly","$1.5546 hourly","$4.9901 hourly","$4.0484 hourly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","EBS only","50 Gigabit","$2.7893 hourly","$1.7572 hourly","$1.0440 hourly","$4.2613 hourly","$3.2292 hourly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.8476 hourly","$1.7940 hourly","$1.5489 hourly","$5.0556 hourly","$4.0020 hourly"
"M5N 12xlarge","m5n.12xlarge","192.0 GiB","48 vCPUs","EBS only","50 Gigabit","$2.8560 hourly","$1.7990 hourly","$1.5501 hourly","$5.0640 hourly","$4.0070 hourly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$1.8899 hourly","unavailable","unavailable"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$2.0561 hourly","unavailable","unavailable"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.9030 hourly","$1.8295 hourly","$2.0665 hourly","unavailable","unavailable"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","50 Gigabit","$2.9103 hourly","$1.8665 hourly","$1.1766 hourly","unavailable","unavailable"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","150 Gigabit","$2.9952 hourly","$1.8870 hourly","$1.6840 hourly","unavailable","unavailable"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","$3.0240 hourly","$1.9050 hourly","$1.4286 hourly","$5.2320 hourly","$4.1130 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$3.0240 hourly","$2.0004 hourly","$1.4073 hourly","$5.2320 hourly","$4.2084 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","EBS only","25 Gigabit","$3.0600 hourly","$1.9280 hourly","$1.6062 hourly","$6.3720 hourly","$5.2400 hourly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$3.0600 hourly","$2.0880 hourly","$0.9180 hourly","$3.4280 hourly","$2.4560 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.0720 hourly","$2.0321 hourly","$1.7595 hourly","$6.0160 hourly","$4.9761 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","EBS only","20 Gigabit","$3.0720 hourly","$1.9350 hourly","$1.5919 hourly","$6.0160 hourly","$4.8790 hourly"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$3.1262 hourly","$1.9695 hourly","$1.0355 hourly","$4.5982 hourly","$3.4415 hourly"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$3.1440 hourly","$1.9810 hourly","$1.5289 hourly","$5.3520 hourly","$4.1890 hourly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","$3.1540 hourly","$1.9870 hourly","$0.9462 hourly","$4.2580 hourly","$3.0910 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2000 hourly","$1.9824 hourly","$2.0377 hourly","$6.1440 hourly","$4.9264 hourly"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.2256 hourly","$2.0328 hourly","$2.0318 hourly","$6.1696 hourly","$4.9768 hourly"
"M7I 16xlarge","m7i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2256 hourly","$2.1337 hourly","$2.0850 hourly","$6.1696 hourly","$5.0777 hourly"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2256 hourly","$2.0321 hourly","$2.2506 hourly","unavailable","unavailable"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2256 hourly","$2.0321 hourly","$1.4623 hourly","unavailable","unavailable"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$3.2640 hourly","$2.0560 hourly","$1.5551 hourly","$5.4720 hourly","$4.2640 hourly"
"R7GD 12xlarge","r7gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$3.2659 hourly","$2.0525 hourly","$1.5477 hourly","unavailable","unavailable"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$3.2960 hourly","$2.0760 hourly","$2.0702 hourly","$6.2400 hourly","$5.0200 hourly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB                 NVMe SSD","Up to 10 Gigabit","$3.3000 hourly","$2.2310 hourly","$0.9900 hourly","unavailable","unavailable"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","475 GB                 NVMe SSD","Up to 25 Gigabit","$3.3345 hourly","$2.0517 hourly","$1.0004 hourly","$4.0705 hourly","$2.7877 hourly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","480 GB                 SSD","Up to 10 Gigabit","$3.3360 hourly","$2.0560 hourly","$1.0008 hourly","$4.0720 hourly","$2.7920 hourly"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$3.3360 hourly","$2.0538 hourly","$1.0008 hourly","$4.0720 hourly","$2.7898 hourly"
"M6IN 12xlarge","m6in.12xlarge","192.0 GiB","48 vCPUs","EBS only","75 Gigabit","$3.3415 hourly","$2.1052 hourly","$1.5572 hourly","$5.5495 hourly","$4.3132 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","3200 GB                 (4 * 800 GB SSD)","High","$3.4100 hourly","$1.6960 hourly","$1.0230 hourly","$3.8910 hourly","$2.2600 hourly"
"M7GD 16xlarge","m7gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$3.4171 hourly","$2.1528 hourly","$2.0348 hourly","unavailable","unavailable"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","$3.4272 hourly","$2.2671 hourly","$2.2238 hourly","unavailable","unavailable"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","$3.4272 hourly","$2.2671 hourly","$2.0694 hourly","unavailable","unavailable"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$3.4560 hourly","$2.1770 hourly","$1.2141 hourly","$6.7680 hourly","$5.4890 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$3.4560 hourly","$2.1770 hourly","$1.5316 hourly","$5.6640 hourly","$4.3850 hourly"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","25 Gigabit","$3.4680 hourly","$2.1848 hourly","$2.2555 hourly","$6.4120 hourly","$5.1288 hourly"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$3.5000 hourly","unavailable","unavailable","$3.8310 hourly","unavailable"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","EBS only","50 Gigabit","$3.5760 hourly","$2.2530 hourly","$1.5175 hourly","$5.7840 hourly","$4.4610 hourly"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","$3.5760 hourly","$2.2529 hourly","$1.5505 hourly","$5.7840 hourly","$4.4609 hourly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$3.6160 hourly","$2.2780 hourly","$1.9396 hourly","$6.5600 hourly","$5.2220 hourly"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","EBS only","12 Gigabit","$3.6160 hourly","$2.2780 hourly","$2.0686 hourly","$6.5600 hourly","$5.2220 hourly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.6288 hourly","$2.4005 hourly","$2.0539 hourly","$6.5728 hourly","$5.3445 hourly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$3.6288 hourly","$2.2806 hourly","$1.5515 hourly","$5.8368 hourly","$4.4886 hourly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","$3.6288 hourly","$2.2861 hourly","$2.0824 hourly","$6.5728 hourly","$5.2301 hourly"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$3.6720 hourly","$2.4290 hourly","$2.4884 hourly","$8.0880 hourly","$6.8450 hourly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly","$2.3224 hourly","$1.9066 hourly","unavailable","unavailable"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly","$2.3224 hourly","$2.2390 hourly","unavailable","unavailable"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","96 vCPUs","EBS only","20 Gigabit","$3.6960 hourly","$2.3280 hourly","$3.0442 hourly","$8.1120 hourly","$6.7440 hourly"
"M7A 16xlarge","m7a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.7094 hourly","$2.4538 hourly","$2.0565 hourly","$6.6534 hourly","$5.3978 hourly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","16000 GB                 (8 * 2000 GB HDD)","25 Gigabit","$3.7440 hourly","$2.5450 hourly","$2.4375 hourly","$6.6880 hourly","$5.4890 hourly"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.7968 hourly","$2.3920 hourly","$2.0648 hourly","$6.7408 hourly","$5.3360 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","EBS only","75 Gigabit","$3.8080 hourly","$2.3990 hourly","$2.0625 hourly","$6.7520 hourly","$5.3430 hourly"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$3.8189 hourly","$2.4059 hourly","$1.5544 hourly","$6.0269 hourly","$4.6139 hourly"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$2.2593 hourly","$7.2000 hourly","$5.7610 hourly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$3.0880 hourly","$7.2000 hourly","$5.7610 hourly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$3.9120 hourly","$2.4650 hourly","$1.7733 hourly","$6.1200 hourly","$4.6730 hourly"
"M5ZN Metal","m5zn.metal","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","$3.9641 hourly","$2.4974 hourly","$1.5391 hourly","$6.1721 hourly","$4.7054 hourly"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","$3.9641 hourly","$2.4974 hourly","$1.5417 hourly","$6.1721 hourly","$4.7054 hourly"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","$3.9936 hourly","$2.5160 hourly","$2.1855 hourly","unavailable","unavailable"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","$3.9955 hourly","$2.5172 hourly","$1.2013 hourly","$5.4675 hourly","$3.9892 hourly"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$4.0080 hourly","$2.4699 hourly","$1.8287 hourly","unavailable","unavailable"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$4.0080 hourly","$2.5250 hourly","$1.5541 hourly","$6.2160 hourly","$4.7330 hourly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.0320 hourly","$2.6672 hourly","$2.0448 hourly","$6.9760 hourly","$5.6112 hourly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","$4.0320 hourly","$2.5400 hourly","$1.8881 hourly","$6.9760 hourly","$5.4840 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$2.7619 hourly","$8.4960 hourly","$6.9860 hourly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$1.5546 hourly","$8.4960 hourly","$6.9860 hourly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.0800 hourly","$2.6989 hourly","$2.4724 hourly","$8.4960 hourly","$7.1149 hourly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","25 Gigabit","$4.0960 hourly","$2.5805 hourly","$2.4326 hourly","$7.0400 hourly","$5.5245 hourly"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","20 Gigabit","$4.1280 hourly","$2.6010 hourly","$2.9939 hourly","$8.5440 hourly","$7.0170 hourly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","EBS only","20 Gigabit","$4.1280 hourly","$2.6010 hourly","$3.0418 hourly","$8.5440 hourly","$7.0170 hourly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.1472 hourly","$2.7434 hourly","$3.0775 hourly","$8.5632 hourly","$7.1594 hourly"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","48 vCPUs","EBS only","75 Gigabit","$4.1839 hourly","$2.6359 hourly","$1.5524 hourly","$6.3919 hourly","$4.8439 hourly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$4.1920 hourly","$2.6410 hourly","$1.8176 hourly","$7.1360 hourly","$5.5850 hourly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","$4.2058 hourly","$2.6496 hourly","$1.2617 hourly","$5.6778 hourly","$4.1216 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.2560 hourly","$2.6880 hourly","$1.9637 hourly","$7.2000 hourly","$5.6320 hourly"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$4.3520 hourly","$2.7420 hourly","$2.0631 hourly","$7.2960 hourly","$5.6860 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$4.3520 hourly","$2.7420 hourly","$2.3005 hourly","$7.2960 hourly","$5.6860 hourly"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$4.3546 hourly","$2.7367 hourly","$2.0452 hourly","unavailable","unavailable"
"M6IN 16xlarge","m6in.16xlarge","256.0 GiB","64 vCPUs","EBS only","100 Gigabit","$4.4554 hourly","$2.8069 hourly","$2.0814 hourly","$7.3994 hourly","$5.7509 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly","$2.8120 hourly","$1.6801 hourly","$6.6720 hourly","$5.0200 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly","$2.8120 hourly","$1.7934 hourly","$6.6720 hourly","$5.0200 hourly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.5600 hourly","$3.1122 hourly","$2.2656 hourly","$7.5040 hourly","$6.0562 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$2.0178 hourly","$9.0240 hourly","$7.3190 hourly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.6080 hourly","$3.0482 hourly","$2.9619 hourly","$9.0240 hourly","$7.4642 hourly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$2.9809 hourly","$9.0240 hourly","$7.3190 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$2.3660 hourly","$9.0240 hourly","$7.3190 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$1.9837 hourly","$9.0240 hourly","$7.3190 hourly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$4.6080 hourly","$2.9030 hourly","$2.0305 hourly","$7.5520 hourly","$5.8470 hourly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$4.6104 hourly","$3.1445 hourly","$1.3831 hourly","unavailable","unavailable"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$4.6894 hourly","$2.9543 hourly","$1.4851 hourly","$6.8974 hourly","$5.1623 hourly"
