"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0672 hourly","$0.0421 hourly","$0.0672 hourly","unavailable","unavailable"
"R7GD Medium","r7gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0680 hourly","$0.0428 hourly","$0.0322 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0680 hourly","$0.0428 hourly","$0.0680 hourly","unavailable","unavailable"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0725 hourly","$0.0478 hourly","$0.0701 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0752 hourly","$0.0471 hourly","$0.0644 hourly","$0.1028 hourly","$0.0747 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0765 hourly","$0.0506 hourly","$0.0636 hourly","$0.1685 hourly","$0.1426 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0768 hourly","$0.0484 hourly","$0.0701 hourly","unavailable","unavailable"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0770 hourly","$0.0483 hourly","$0.0643 hourly","unavailable","unavailable"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0770 hourly","$0.0490 hourly","$0.0644 hourly","$0.1690 hourly","$0.1410 hourly"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0816 hourly","$0.0540 hourly","$0.0700 hourly","unavailable","unavailable"
